[2025-09-29 06:38:58,961: INFO: main: Welcome to our custom log]
[2025-09-30 01:38:56,604: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 01:38:56,610: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 01:42:20,537: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 01:42:20,546: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 01:48:17,771: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 01:48:17,777: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 02:00:44,626: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 02:00:44,635: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 02:01:32,068: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 02:01:32,074: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 02:01:50,313: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 02:01:50,320: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 07:38:03,995: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 07:38:04,005: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 07:47:05,065: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 07:47:05,073: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 07:47:48,661: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 07:47:48,667: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 07:48:25,486: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 07:48:25,492: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 07:50:43,784: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 07:50:43,791: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 08:08:28,653: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 08:08:28,726: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 08:08:28,734: INFO: common: created directory at: artifacts]
[2025-09-30 08:08:28,740: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-30 08:08:28,757: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-30 08:08:48,386: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-30 12:25:07,001: INFO: main: >>>>>>Stage Data Ingestion Stage started <<<<<<<]
[2025-09-30 12:25:07,037: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 12:25:07,042: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 12:25:07,044: INFO: common: created directory at: artifacts]
[2025-09-30 12:25:07,046: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-30 12:25:07,050: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-30 12:25:35,574: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-30 12:25:37,957: INFO: main: >>>>>>Stage Data Ingestion Stage completed <<<<<<<

x==========x]
[2025-09-30 12:29:40,913: INFO: main: >>>>>>Stage Data Ingestion Stage started <<<<<<<]
[2025-09-30 12:29:40,918: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-30 12:29:40,927: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-30 12:29:40,931: INFO: common: created directory at: artifacts]
[2025-09-30 12:29:40,934: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-30 12:29:40,936: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-30 12:29:59,415: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-30 12:30:07,416: INFO: main: >>>>>>Stage Data Ingestion Stage completed <<<<<<<

x==========x]
